Date,Close,High,Low,Open,Volume,Lag_1,Lag_5,Lag_30,MA50,MA200,RSI,Daily_Return,Log_Return,Volatility,Day_of_Week,Month,Year,STD50,Bollinger_Upper,Bollinger_Lower,Log_Close
1995-01-03,0.285765677690506,0.2894887703953436,0.2820425849856683,0.2894887703953436,103868800,,,,,,,,,,1,1,1995,,,,-0.5987777734272274
1995-01-04,0.2932125926017761,0.2950741257923262,0.2876271230734987,0.2876271230734987,158681600,-0.5988082991081171,,,,,,0.932686636471601,0.9158607191358454,,2,1,1995,,,,-0.598646392123354
1995-01-05,0.2894887924194336,0.2932127305086422,0.2885580129584328,0.2922811059465205,73640000,-0.5986768003959956,,,,,,-0.5249926780046826,-0.5046014482995047,,3,1,1995,,,,-0.5987120888218056
1995-01-06,0.3127596080303192,0.3211373887002509,0.3062442054133285,0.3099672961738804,1076622400,-0.5987425558039746,,,,,,2.9758091811269067,2.8190232466508234,,4,1,1995,,,,-0.5983015362461979
1995-01-09,0.3068256080150604,0.3118289283766185,0.3053126785849892,0.309967394831795,274086400,-0.5983316363401014,,,,,,-0.7609109216012461,-0.7397276929403183,,0,1,1995,,,,-0.5984062261303281
1995-01-10,0.3253260254859924,0.3276529364934302,0.3071751204203367,0.3071751204203367,614790400,-0.5984364197798255,-0.5989423212627207,,,,,2.2202699129166454,2.1266297699394516,,1,1,1995,,,,-0.5980798347322133
1995-01-11,0.3481317460536957,0.357904870205271,0.3178791083601437,0.3257915183194132,873824000,-0.5981097367036626,-0.5988103472123942,,,,,2.589016542852176,2.4661814398589184,,2,1,1995,,,,-0.5976774875401673
1995-01-12,0.3378923833370209,0.3453394155467102,0.3332385350361852,0.3434770360963104,551779200,-0.5977070299560514,-0.5988763403113522,,,,,-1.1535145552007684,-1.134366456252403,,3,1,1995,,,,-0.5978581342697965
1995-01-13,0.3341692686080932,0.3434770143318155,0.3304453550445095,0.3434770143318155,351377600,-0.5978878381197313,-0.5984639354662368,,,,,-0.46175958368469,-0.4418344850625417,,4,1,1995,,,,-0.5979238188752183
1995-01-16,0.3313760757446289,0.3369615726783662,0.3295145417043628,0.3341692343340947,188977600,-0.5979535814238738,-0.5985690976744777,,,,,-0.36172062351815293,-0.3427506014408665,,0,1,1995,,,,-0.5979730974455718
1995-01-17,0.3350999653339386,0.3388230577321066,0.3285837147501353,0.3313760278347835,330108800,-0.5980029040317764,-0.5982412337126276,,,,,0.37526170635811845,0.3791070510107009,,1,1,1995,,,,-0.5979073991697686
1995-01-18,0.3397537469863891,0.3397537469863891,0.3332383432306246,0.3350998765083124,127657600,-0.597937147045036,-0.5978370712708924,,,,,0.474926985662724,0.4756515578383051,,2,1,1995,,,,-0.597825295384681
1995-01-19,0.3416154682636261,0.3425462478426537,0.3351000609222697,0.3388231543824617,314294400,-0.5978549698883096,-0.5980185330153305,,,,,0.15871185698635645,0.1684629021323819,,3,1,1995,,,,-0.5977924501901586
1995-01-20,0.3174135982990265,0.3499931590647116,0.3164828190412558,0.3499931590647116,1000361600,-0.5978220953418426,-0.598084513966699,,,,0.4248451354214875,-2.7117404231443674,-2.743677302332895,,4,1,1995,,,,-0.598219428780623
1995-01-23,0.3146212995052337,0.3174136376244983,0.3053127352410498,0.3118289862418822,398540800,-0.5982494554995986,-0.5981340148647121,,,,0.3521103665547091,-0.3782088154014919,-0.3590630730396866,,0,1,1995,,,,-0.5982686915774594
1995-01-24,0.3099672794342041,0.315551902845486,0.3081057217265107,0.3146211239916393,218097600,-0.5982987623198883,-0.5980680201812861,,,,0.10494252866458825,-0.6036861501740922,-0.5828642784980951,,1,1,1995,,,,-0.5983507995688182
1995-01-25,0.3051967918872833,0.3127597498582904,0.2941434673688425,0.2941434673688425,517070400,-0.5983809436866449,-0.5979855459726605,,,,0.07982275484042683,-0.6261700148263315,-0.6052556342585866,,2,1,1995,,,,-0.5984349623236628
1995-01-26,0.294143408536911,0.3090365955986847,0.2922810051560218,0.3043819045095194,246388800,-0.5984651816531164,-0.5979525525921179,,,,-0.6915237092471929,-1.409435693533532,-1.3939060701652164,,3,1,1995,,,,-0.5986299703147687
1995-01-27,0.2969358563423157,0.3006589497422337,0.2904196040052242,0.2969358563423157,298569600,-0.5986603639121427,-0.5983814575605189,,,,-0.49302119450458454,0.30966672020147556,0.31542785528925565,,4,1,1995,,,,-0.5985807048890127
1995-01-30,0.2987973392009735,0.3015896525564658,0.2969358052492832,0.2987973392009735,230585600,-0.5986110544605843,-0.5984309426138503,,,,-0.9978181399958018,0.18839809339935676,0.19741078521867084,,0,1,1995,,,,-0.5985478639007616
1995-01-31,0.3006587922573089,0.3043818837070735,0.2978664798839617,0.3015895464778213,212777600,-0.5985781841241474,-0.5985134210477243,,,,-1.9281208084407297,0.18692554333291825,0.1959753956240355,,1,1,1995,,,,-0.5985150234382943
